time,key,degree,quality,inversion,roman_numeral_notation
0,19,1,1,1,I
1,19,1,1,1,I
2,19,1,1,1,I
3,19,1,1,1,I
4,19,8,5,2,V65
5,19,8,5,2,V65
6,19,8,5,2,V65
7,19,8,5,2,V65
8,19,1,1,1,I
9,19,8,5,3,V43
10,19,1,1,2,I6
11,19,8,5,2,V65
12,19,1,1,3,I64
13,19,3,5,4,V42/IV
14,19,6,1,2,IV6
15,19,6,1,2,IV6
16,19,6,1,2,IV6
17,19,8,5,2,V65
18,19,1,1,1,I
19,19,3,2,2,ii6
20,19,1,1,3,I64
21,19,8,5,1,V7
22,19,1,1,1,I
23,19,1,1,1,I
24,19,1,1,1,I
25,19,1,1,1,I
26,19,1,1,1,I
27,31,7,7,2,Gr+6
28,31,7,7,2,Gr+6
29,31,7,7,2,Gr+6
30,31,7,7,2,Gr+6
31,31,7,7,2,Gr+6
32,31,7,7,2,Gr+6
33,31,7,7,2,Gr+6
34,31,8,1,1,V
35,1,8,1,1,V
36,1,1,1,1,I
37,1,1,1,1,I
38,1,1,1,1,I
39,1,1,1,1,I
40,1,1,1,1,I
41,1,1,1,1,I
42,1,8,5,1,V7
43,1,8,5,1,V7
44,1,8,5,1,V7
45,1,8,5,1,V7
46,1,8,5,1,V7
47,1,8,5,1,V7
48,1,8,5,1,V7
49,1,8,5,1,V7
50,1,1,1,1,I
51,1,1,1,1,I
52,1,1,1,1,I
53,1,1,1,1,I
54,25,3,2,1,ii
55,25,3,2,1,ii
56,25,8,5,1,V7
57,25,8,5,1,V7
58,25,1,1,1,I
59,25,8,5,3,V43
60,25,1,1,1,I
61,25,8,5,2,V65
62,25,1,1,1,I
63,25,8,5,3,V43
64,25,1,1,1,I
65,25,8,5,2,V65
66,25,1,1,1,I
67,25,8,5,2,V65
68,25,1,1,1,I
69,25,8,5,2,V65
70,25,1,1,1,I
71,25,1,1,1,I
72,25,1,1,1,I
73,25,1,1,1,I
74,1,8,5,4,V42
75,1,1,1,1,I
76,1,8,5,4,V42
77,1,1,1,1,I
78,1,3,2,2,ii6
79,1,8,1,1,V
80,1,1,1,1,I
81,2,1,2,2,i6
82,2,3,8,2,ii-6
83,2,1,2,1,i
84,2,3,8,2,ii-6
85,2,1,2,1,i
86,2,3,8,2,ii-6
87,2,8,5,1,V7
88,2,10,1,1,VI
89,2,10,1,1,VI
90,2,8,9,1,vii-7/V
91,2,8,9,1,vii-7/V
92,1,8,5,4,V42
93,1,1,1,1,I
94,1,8,5,3,V43
95,1,1,1,1,I
96,1,8,5,3,V43
97,1,1,1,2,I6
98,1,8,5,3,V43
99,1,1,1,2,I6
100,1,3,2,2,ii6
101,1,3,2,2,ii6
102,1,3,2,2,ii6
103,1,3,2,2,ii6
104,1,3,2,2,ii6
105,1,3,2,2,ii6
106,1,8,5,1,V7
107,1,8,5,1,V7
108,1,1,1,1,I
109,1,1,1,1,I
110,1,1,1,1,I
111,1,1,1,1,I
112,1,6,1,1,IV
113,1,5,5,2,V65/V
114,1,1,1,3,I64
115,1,8,1,1,V
116,1,1,1,1,I
117,1,1,1,1,I
118,1,1,1,1,I
119,1,1,1,1,I
120,1,6,1,1,IV
121,1,5,5,2,V65/V
122,1,1,1,3,I64
123,1,8,1,1,V
124,1,1,1,1,I
125,1,8,9,3,vii-43/V
126,1,8,1,1,V
127,1,8,1,1,V
128,1,1,1,1,I
129,1,1,1,1,I
130,1,1,1,1,I
131,19,1,1,1,I
132,19,1,1,1,I
133,19,1,1,1,I
134,19,1,1,1,I
135,19,1,1,1,I
136,19,8,5,2,V65
137,19,8,5,2,V65
138,19,8,5,2,V65
139,19,8,5,2,V65
140,19,1,1,1,I
141,19,8,5,3,V43
142,19,1,1,2,I6
143,19,8,5,2,V65
144,19,1,1,3,I64
145,19,3,5,4,V42/IV
146,19,6,1,2,IV6
147,19,6,1,2,IV6
148,19,6,1,2,IV6
149,19,8,5,2,V65
150,19,1,1,1,I
151,19,3,2,2,ii6
152,19,1,1,3,I64
153,19,8,5,1,V7
154,19,1,1,1,I
155,19,1,1,1,I
156,19,1,1,1,I
157,19,1,1,1,I
158,19,1,1,1,I
159,31,7,7,2,Gr+6
160,31,7,7,2,Gr+6
161,31,7,7,2,Gr+6
162,31,7,7,2,Gr+6
163,31,7,7,2,Gr+6
164,31,7,7,2,Gr+6
165,31,7,7,2,Gr+6
166,31,8,1,1,V
