onset_time,midi_note,morphetic_pitch_number,duration,staff_number,measure
-1.0,48.0,53.0,0.75,0.0,0.0
-0.25,52.0,55.0,0.25,0.0,0.0
0.0,53.0,56.0,2.0,0.0,1.0
1.0,46.0,52.0,0.5,0.0,1.0
2.0,60.0,60.0,0.75,0.0,1.0
2.75,64.0,62.0,0.25,0.0,1.0
3.0,65.0,63.0,2.0,0.0,2.0
4.0,62.0,61.0,0.5,0.0,2.0
5.0,72.0,67.0,0.75,0.0,2.0
5.75,77.0,70.0,0.25,0.0,2.0
6.0,81.0,72.0,1.75,0.0,3.0
6.75,69.0,65.0,0.25,1.0,3.0
7.0,72.0,67.0,0.75,1.0,3.0
7.75,77.0,70.0,0.25,0.0,3.0
8.0,79.0,71.0,0.75,0.0,3.0
8.75,76.0,69.0,0.25,0.0,3.0
9.0,77.0,70.0,1.0,0.0,4.0
11.0,48.0,53.0,0.75,0.0,4.0
11.75,52.0,55.0,0.25,0.0,4.0
12.0,53.0,56.0,2.0,0.0,5.0
13.0,46.0,52.0,0.5,0.0,5.0
14.0,60.0,60.0,0.75,0.0,5.0
14.75,64.0,62.0,0.25,0.0,5.0
15.0,65.0,63.0,2.0,0.0,6.0
16.0,62.0,61.0,0.5,0.0,6.0
17.0,72.0,67.0,0.75,0.0,6.0
17.75,77.0,70.0,0.25,0.0,6.0
18.0,81.0,72.0,1.75,0.0,7.0
18.75,69.0,65.0,0.25,1.0,7.0
19.0,72.0,67.0,0.75,1.0,7.0
19.75,77.0,70.0,0.25,0.0,7.0
20.0,79.0,71.0,0.75,0.0,7.0
20.75,76.0,69.0,0.25,0.0,7.0
21.0,77.0,70.0,1.0,0.0,8.0
23.0,53.0,56.0,0.75,0.0,8.0
23.75,57.0,58.0,0.25,0.0,8.0
24.0,61.0,60.0,1.0,0.0,9.0
25.0,62.0,61.0,1.75,0.0,9.0
26.0,52.0,55.0,1.0,1.0,9.0
26.75,59.0,59.0,0.25,0.0,9.0
27.0,60.0,60.0,0.75,0.0,10.0
27.75,57.0,58.0,0.25,0.0,10.0
28.0,53.0,56.0,0.5,0.0,10.0
29.0,65.0,63.0,0.75,0.0,10.0
29.75,69.0,65.0,0.25,0.0,10.0
30.0,73.0,67.0,1.0,0.0,11.0
31.0,74.0,68.0,1.75,0.0,11.0
32.0,64.0,62.0,1.0,1.0,11.0
32.75,71.0,66.0,0.25,0.0,11.0
33.0,72.0,67.0,0.75,0.0,12.0
33.75,69.0,65.0,0.25,0.0,12.0
34.0,65.0,63.0,0.5,0.0,12.0
35.0,77.0,70.0,0.75,0.0,12.0
35.75,81.0,72.0,0.25,0.0,12.0
36.0,85.0,74.0,1.0,0.0,13.0
37.0,86.0,75.0,1.0,0.0,13.0
38.0,86.0,75.0,0.75,0.0,13.0
38.75,83.0,73.0,0.25,0.0,13.0
39.0,84.0,74.0,0.75,0.0,14.0
39.75,81.0,72.0,0.25,0.0,14.0
40.0,82.0,73.0,1.0,0.0,14.0
41.0,67.0,64.0,0.75,1.0,14.0
41.75,79.0,71.0,0.25,0.0,14.0
42.0,81.0,72.0,0.75,0.0,15.0
42.75,77.0,70.0,0.25,0.0,15.0
43.0,79.0,71.0,1.75,0.0,15.0
44.0,79.0,71.0,0.75,0.0,15.0
44.75,74.0,68.0,0.25,0.0,15.0
45.0,76.0,69.0,0.75,0.0,16.0
45.75,79.0,71.0,0.25,0.0,16.0
46.0,77.0,70.0,0.5,0.0,16.0
47.0,53.0,56.0,0.75,0.0,16.0
47.75,57.0,58.0,0.25,0.0,16.0
48.0,61.0,60.0,1.0,0.0,17.0
49.0,62.0,61.0,1.75,0.0,17.0
50.0,52.0,55.0,1.0,1.0,17.0
50.75,59.0,59.0,0.25,0.0,17.0
51.0,60.0,60.0,0.75,0.0,18.0
51.75,57.0,58.0,0.25,0.0,18.0
52.0,53.0,56.0,0.5,0.0,18.0
53.0,65.0,63.0,0.75,0.0,18.0
53.75,69.0,65.0,0.25,0.0,18.0
54.0,73.0,67.0,1.0,0.0,19.0
55.0,74.0,68.0,1.75,0.0,19.0
56.0,64.0,62.0,1.0,1.0,19.0
56.75,71.0,66.0,0.25,0.0,19.0
57.0,72.0,67.0,0.75,0.0,20.0
57.75,69.0,65.0,0.25,0.0,20.0
58.0,65.0,63.0,0.5,0.0,20.0
59.0,77.0,70.0,0.75,0.0,20.0
59.75,81.0,72.0,0.25,0.0,20.0
60.0,85.0,74.0,1.0,0.0,21.0
61.0,86.0,75.0,2.75,0.0,21.0
62.0,86.0,75.0,0.75,0.0,21.0
62.75,83.0,73.0,0.25,0.0,21.0
63.0,84.0,74.0,0.75,0.0,22.0
63.75,81.0,72.0,0.25,0.0,22.0
64.0,82.0,73.0,1.75,0.0,22.0
65.0,82.0,73.0,0.75,0.0,22.0
65.75,79.0,71.0,0.25,0.0,22.0
66.0,81.0,72.0,0.75,0.0,23.0
66.75,77.0,70.0,0.25,0.0,23.0
67.0,79.0,71.0,1.75,0.0,23.0
68.0,79.0,71.0,0.75,0.0,23.0
68.75,74.0,68.0,0.25,0.0,23.0
69.0,76.0,69.0,0.75,0.0,24.0
69.75,79.0,71.0,0.25,0.0,24.0
70.0,77.0,70.0,0.5,0.0,24.0
71.0,48.0,53.0,0.333333333333,1.0,24.0
71.3333333333,60.0,60.0,0.333333333333,1.0,24.0
71.6666666667,59.0,59.0,0.333333333333,1.0,24.0
72.0,60.0,60.0,0.333333333333,1.0,25.0
72.3333333333,58.0,59.0,0.333333333333,1.0,25.0
72.6666666667,57.0,58.0,0.333333333333,1.0,25.0
73.0,55.0,57.0,0.333333333333,1.0,25.0
73.3333333333,57.0,58.0,0.333333333333,1.0,25.0
73.6666666667,58.0,59.0,0.333333333333,1.0,25.0
74.0,72.0,67.0,0.333333333333,0.0,25.0
74.3333333333,84.0,74.0,0.333333333333,0.0,25.0
74.6666666667,83.0,73.0,0.333333333333,0.0,25.0
75.0,84.0,74.0,0.333333333333,0.0,26.0
75.3333333333,82.0,73.0,0.333333333333,0.0,26.0
75.6666666667,81.0,72.0,0.333333333333,0.0,26.0
76.0,79.0,71.0,0.333333333333,0.0,26.0
76.3333333333,81.0,72.0,0.333333333333,0.0,26.0
76.6666666667,82.0,73.0,0.333333333333,0.0,26.0
77.0,81.0,72.0,0.333333333333,0.0,26.0
77.3333333333,79.0,71.0,0.333333333333,0.0,26.0
77.6666666667,77.0,70.0,0.333333333333,0.0,26.0
78.0,76.0,69.0,0.333333333333,0.0,27.0
78.3333333333,77.0,70.0,0.333333333333,0.0,27.0
78.6666666667,79.0,71.0,0.333333333333,0.0,27.0
79.0,77.0,70.0,0.333333333333,0.0,27.0
79.3333333333,76.0,69.0,0.333333333333,0.0,27.0
79.6666666667,74.0,68.0,0.333333333333,0.0,27.0
80.0,73.0,67.0,0.333333333333,0.0,27.0
80.3333333333,74.0,68.0,0.333333333333,0.0,27.0
80.6666666667,76.0,69.0,0.333333333333,0.0,27.0
81.0,74.0,68.0,0.333333333333,0.0,28.0
81.3333333333,72.0,67.0,0.333333333333,0.0,28.0
81.6666666667,70.0,66.0,0.333333333333,0.0,28.0
82.0,69.0,65.0,0.333333333333,0.0,28.0
82.3333333333,67.0,64.0,0.333333333333,0.0,28.0
82.6666666667,65.0,63.0,0.333333333333,0.0,28.0
83.0,64.0,62.0,0.333333333333,0.0,28.0
83.3333333333,72.0,67.0,0.333333333333,0.0,28.0
83.6666666667,71.0,66.0,0.333333333333,0.0,28.0
84.0,72.0,67.0,0.333333333333,0.0,29.0
84.3333333333,70.0,66.0,0.333333333333,0.0,29.0
84.6666666667,69.0,65.0,0.333333333333,0.0,29.0
85.0,67.0,64.0,0.333333333333,0.0,29.0
85.3333333333,69.0,65.0,0.333333333333,0.0,29.0
85.6666666667,70.0,66.0,0.333333333333,0.0,29.0
86.0,69.0,65.0,0.333333333333,0.0,29.0
