onset_time,midi_note,morphetic_pitch_number,duration,staff_number,measure
-1.0,68.0,64.0,1.0,0.0,0.0
-0.75,71.0,66.0,0.75,0.0,0.0
-0.5,52.0,55.0,0.25,1.0,0.0
-0.25,59.0,59.0,0.25,1.0,0.0
0.0,71.0,66.0,1.0,0.0,1.0
0.25,66.0,63.0,0.75,0.0,1.0
0.5,63.0,61.0,0.25,1.0,1.0
0.75,51.0,54.0,0.25,1.0,1.0
1.0,64.0,62.0,1.0,0.0,1.0
1.25,68.0,64.0,0.75,0.0,1.0
1.5,49.0,53.0,0.25,1.0,1.0
1.75,56.0,57.0,0.25,1.0,1.0
2.0,68.0,64.0,1.0,0.0,2.0
2.25,63.0,61.0,0.75,0.0,2.0
2.5,59.0,59.0,0.25,1.0,2.0
2.75,47.0,52.0,0.25,1.0,2.0
3.0,61.0,60.0,1.0,0.0,2.0
3.25,64.0,62.0,0.75,0.0,2.0
3.5,45.0,51.0,0.25,1.0,2.0
3.75,52.0,55.0,0.25,1.0,2.0
4.0,64.0,62.0,1.0,0.0,3.0
4.25,59.0,59.0,0.75,0.0,3.0
4.5,56.0,57.0,0.25,1.0,3.0
4.75,44.0,50.0,0.25,1.0,3.0
5.0,66.0,63.0,1.0,0.0,3.0
5.25,59.0,59.0,0.75,0.0,3.0
5.5,35.0,45.0,0.25,1.0,3.0
5.75,47.0,52.0,0.25,1.0,3.0
6.0,68.0,64.0,1.0,0.0,4.0
6.25,59.0,59.0,0.75,0.0,4.0
6.5,52.0,55.0,0.25,1.0,4.0
6.75,40.0,48.0,0.25,1.0,4.0
7.0,68.0,64.0,1.0,0.0,4.0
7.25,71.0,66.0,0.75,0.0,4.0
7.5,52.0,55.0,0.25,1.0,4.0
7.75,59.0,59.0,0.25,1.0,4.0
8.0,71.0,66.0,1.0,0.0,5.0
8.25,66.0,63.0,0.75,0.0,5.0
8.5,63.0,61.0,0.25,1.0,5.0
8.75,51.0,54.0,0.25,1.0,5.0
9.0,70.0,65.0,0.25,0.0,5.0
9.25,76.0,69.0,0.75,0.0,5.0
9.5,49.0,53.0,0.25,1.0,5.0
9.75,54.0,56.0,0.25,1.0,5.0
10.0,75.0,68.0,0.25,0.0,6.0
10.25,71.0,66.0,0.75,0.0,6.0
10.5,59.0,59.0,0.25,1.0,6.0
10.75,47.0,52.0,0.25,1.0,6.0
11.0,71.0,66.0,1.0,0.0,6.0
11.25,75.0,68.0,0.75,0.0,6.0
11.5,54.0,56.0,0.25,1.0,6.0
11.75,66.0,63.0,0.25,1.0,6.0
12.0,76.0,69.0,1.0,0.0,6.0
12.25,71.0,66.0,0.75,0.0,7.0
12.5,68.0,64.0,0.25,1.0,7.0
12.75,56.0,57.0,0.25,1.0,7.0
13.0,71.0,66.0,1.0,0.0,7.0
13.25,80.0,71.0,0.75,0.0,7.0
13.5,52.0,55.0,0.25,1.0,7.0
13.75,64.0,62.0,0.25,1.0,7.0
14.0,78.0,70.0,1.0,0.0,7.0
14.25,75.0,68.0,0.75,0.0,8.0
14.5,66.0,63.0,0.25,1.0,8.0
14.75,54.0,56.0,0.25,1.0,8.0
15.0,73.0,67.0,0.25,0.0,8.0
15.25,82.0,72.0,0.75,0.0,8.0
15.5,42.0,49.0,0.25,1.0,8.0
15.75,54.0,56.0,0.25,1.0,8.0
16.0,81.0,72.0,1.0,0.0,9.0
16.5,63.0,61.0,0.25,1.0,9.0
16.75,64.0,62.0,0.25,1.0,9.0
17.0,66.0,63.0,0.125,1.0,9.0
17.25,68.0,64.0,0.25,1.0,9.0
17.5,80.0,71.0,0.125,0.0,9.0
17.75,78.0,70.0,0.125,0.0,9.0
18.0,76.0,69.0,0.25,0.0,9.0
18.25,75.0,68.0,0.25,0.0,9.0
18.5,76.0,69.0,0.125,0.0,9.0
18.75,78.0,70.0,0.125,0.0,9.0
19.0,79.0,70.0,0.5,0.0,10.0
19.25,52.0,55.0,0.75,1.0,10.0
19.5,80.0,71.0,0.5,0.0,10.0
19.75,63.0,61.0,0.25,1.0,10.0
20.5,78.0,70.0,0.25,0.0,10.0
20.75,76.0,69.0,0.125,0.0,10.0
21.0,75.0,68.0,0.25,0.0,10.0
21.25,73.0,67.0,0.25,0.0,10.0
21.5,75.0,68.0,0.125,0.0,10.0
21.75,76.0,69.0,0.125,0.0,10.0
22.0,78.0,70.0,0.25,0.0,11.0
22.25,71.0,66.0,0.25,0.0,11.0
22.5,78.0,70.0,0.25,0.0,11.0
22.75,76.0,69.0,0.25,0.0,11.0
23.0,75.0,68.0,1.0,0.0,11.0
23.5,63.0,61.0,0.5,1.0,11.0
24.0,73.0,67.0,0.1,0.0,11.0
24.1,75.0,68.0,0.1,0.0,11.0
24.2,73.0,67.0,0.1,0.0,11.0
24.3,72.0,66.0,0.1,0.0,11.0
24.4,73.0,67.0,0.1,0.0,11.0
24.5,75.0,68.0,0.08333,0.0,11.0
24.58333,76.0,69.0,0.08333,0.0,11.0
24.66667,77.0,69.0,0.08333,0.0,11.0
24.75,78.0,70.0,0.08333,0.0,11.0
24.83333,79.0,70.0,0.08333,0.0,11.0
24.91667,80.0,71.0,0.08333,0.0,11.0
25.0,81.0,72.0,0.125,0.0,12.0
25.125,93.0,79.0,0.125,0.0,12.0
25.25,87.0,75.0,0.125,0.0,12.0
25.375,84.0,73.0,0.125,0.0,12.0
25.5,81.0,72.0,0.125,0.0,12.0
25.625,75.0,68.0,0.125,0.0,12.0
25.75,72.0,66.0,0.125,0.0,12.0
25.875,69.0,65.0,0.125,0.0,12.0
26.0,63.0,61.0,0.125,0.0,12.0
26.125,60.0,59.0,0.125,0.0,12.0
26.25,57.0,58.0,0.125,0.0,12.0
26.375,51.0,54.0,0.125,0.0,12.0
26.5,48.0,52.0,0.08333,1.0,12.0
26.58333,45.0,51.0,0.08333,1.0,12.0
26.66667,48.0,52.0,0.08333,1.0,12.0
26.75,51.0,54.0,0.08333,1.0,12.0
26.83333,57.0,58.0,0.08333,1.0,12.0
26.91667,60.0,59.0,0.08333,1.0,12.0
27.0,63.0,61.0,0.05833,0.0,12.0
27.05833,69.0,65.0,0.05833,0.0,12.0
27.125,72.0,66.0,0.05833,0.0,12.0
27.18333,75.0,68.0,0.05833,0.0,12.0
27.25,81.0,72.0,0.05833,0.0,12.0
27.30833,84.0,73.0,0.05833,0.0,12.0
27.375,87.0,75.0,0.05833,0.0,12.0
27.43333,93.0,79.0,0.05833,0.0,12.0
27.5,92.0,78.0,0.25,0.0,12.0
27.75,91.0,77.0,0.25,0.0,12.0
28.0,91.0,77.0,0.08333,0.0,13.0
28.08333,87.0,75.0,0.08333,0.0,13.0
28.16667,82.0,72.0,0.08333,0.0,13.0
28.25,79.0,70.0,0.08333,0.0,13.0
28.33333,75.0,68.0,0.08333,0.0,13.0
28.41667,70.0,65.0,0.08333,0.0,13.0
28.5,67.0,63.0,0.08333,0.0,13.0
28.58333,63.0,61.0,0.08333,0.0,13.0
28.66667,58.0,58.0,0.08333,0.0,13.0
28.75,55.0,56.0,0.08333,1.0,13.0
