time,key,degree,quality,inversion,roman_numeral_notation
0,25,1,1,1,I
1,25,1,1,1,I
2,25,1,1,1,I
3,25,1,1,1,I
4,25,1,1,1,I
5,25,1,1,1,I
6,25,1,1,1,I
7,25,1,1,1,I
8,25,1,1,1,I
9,25,6,1,1,IV
10,25,6,1,1,IV
11,25,6,1,1,IV
12,25,3,2,2,ii6
13,25,3,2,2,ii6
14,25,3,2,2,ii6
15,25,8,5,3,V43
16,25,8,5,3,V43
17,25,8,5,3,V43
18,25,8,5,3,V43
19,25,8,5,3,V43
20,25,8,5,3,V43
21,25,1,1,1,I
22,25,1,1,1,I
23,25,1,1,1,I
24,25,8,1,2,V6
25,25,8,1,2,V6
26,25,8,1,2,V6
27,25,1,1,1,I
28,25,1,1,1,I
29,25,1,1,1,I
30,25,6,1,1,IV
31,25,6,1,1,IV
32,25,5,5,2,V65/V
33,25,8,1,1,V
34,25,8,1,1,V
35,25,8,1,1,V
36,25,8,1,1,V
37,25,8,1,1,V
38,25,8,1,1,V
39,25,8,1,1,V
40,25,8,1,1,V
41,25,8,1,1,V
42,25,8,1,1,V
43,25,8,1,1,V
44,25,8,1,1,V
45,25,5,2,1,iii
46,25,5,2,1,iii
47,25,5,2,1,iii
48,25,5,2,1,iii
49,25,5,2,1,iii
50,25,5,2,1,iii
51,25,5,2,1,iii
52,25,5,2,1,iii
53,25,5,2,1,iii
54,25,5,2,1,iii
55,25,5,2,1,iii
56,25,5,2,1,iii
57,31,8,5,2,V65
58,31,8,5,2,V65
59,31,8,5,2,V65
60,31,8,5,2,V65
61,31,8,5,2,V65
62,31,8,5,2,V65
63,31,8,5,2,V65
64,31,8,5,2,V65
65,31,8,5,2,V65
66,31,8,5,2,V65
67,31,8,5,2,V65
68,31,8,5,2,V65
69,31,1,1,1,I
70,31,1,1,1,I
71,31,1,1,1,I
72,31,8,5,2,V65
73,31,8,5,2,V65
74,31,8,5,2,V65
75,7,8,5,1,V7
76,7,8,5,1,V7
77,7,8,5,1,V7
78,7,1,1,1,I
79,7,1,1,1,I
80,7,1,1,1,I
