time,key,degree,quality,inversion,roman_numeral_notation
0,15,1,1,1,I
1,15,8,1,1,V
2,15,10,2,1,vi
3,15,10,2,1,vi
4,15,3,9,3,vii-43/ii
5,2,3,7,3,Fr+6
6,2,8,9,2,vii65/V
7,2,8,1,1,V
8,2,8,9,2,vii65/V
9,15,5,2,1,iii
10,15,1,1,1,I
11,15,8,5,1,V7
12,15,3,9,3,vii-43/ii
13,15,8,5,1,V7
14,16,10,1,1,VI
15,16,10,1,1,VI
16,16,6,5,3,V43/VI
17,16,1,2,3,i64
18,16,8,9,1,vii-7/V
19,34,3,10,4,ii=64
20,34,8,5,2,V65
21,16,1,2,2,i6
22,16,8,5,3,V43
23,16,1,2,1,i
24,16,8,1,2,V6
25,16,1,2,1,i
26,16,8,1,2,V6
27,16,6,2,2,iv6
28,16,6,2,2,iv6
29,15,6,1,2,IV6
30,15,6,1,2,IV6
31,15,6,1,2,IV6
32,15,6,1,2,IV6
33,15,6,1,2,IV6
34,15,6,1,2,IV6
35,15,6,5,2,V65/vi
36,15,6,8,2,vii-6/IV
37,15,5,1,2,V6/V
38,15,3,2,2,ii6
39,15,1,1,2,I6
40,15,8,5,3,V43
41,15,8,5,3,V43
42,15,8,5,3,V43
43,15,1,1,1,I
44,15,8,1,2,V6
45,15,10,4,1,vi7
46,15,8,5,1,V7
47,15,8,5,1,V7
48,15,1,1,1,I
49,15,1,1,1,I
50,15,1,1,1,I
51,15,1,1,1,I
52,15,8,5,3,V43
53,15,8,5,3,V43
54,15,8,5,3,V43
55,15,8,5,3,V43
56,15,1,1,2,I6
57,15,1,1,2,I6
58,15,1,1,2,I6
59,15,1,1,2,I6
60,15,8,5,4,V42
61,15,8,5,4,V42
62,15,8,1,1,V
63,15,8,1,1,V
64,15,1,1,1,I
65,15,1,1,1,I
66,15,1,1,1,I
67,15,1,1,1,I
68,15,8,5,3,V43
69,15,8,5,3,V43
70,15,8,5,3,V43
71,15,8,5,3,V43
72,15,1,1,2,I6
73,15,1,1,2,I6
74,15,1,1,2,I6
75,15,1,1,2,I6
76,15,3,4,2,ii65
77,15,3,4,2,ii65
78,15,5,5,2,V65/V
79,15,5,5,2,V65/V
80,15,8,5,1,V7
81,15,8,5,1,V7
82,15,8,5,1,V7
83,15,8,5,1,V7
84,15,1,1,2,I6
85,15,1,1,2,I6
86,15,1,1,2,I6
87,15,1,1,2,I6
88,15,8,5,1,V7
89,15,8,5,1,V7
90,15,8,5,1,V7
91,15,8,5,1,V7
92,15,8,5,1,V7
93,15,8,5,1,V7
94,15,8,5,1,V7
95,15,8,5,1,V7
96,15,6,5,2,V65/vi
97,15,6,5,2,V65/vi
98,15,10,2,2,vi6
99,15,10,2,2,vi6
100,39,5,5,4,V42/V
101,39,5,5,4,V42/V
102,39,8,1,2,V6
103,39,8,1,2,V6
104,39,3,9,3,ii=43
105,39,3,9,3,ii=43
106,39,3,9,3,ii=43
107,39,3,9,3,ii=43
108,39,3,9,2,ii=65
109,39,3,9,2,ii=65
110,39,3,9,2,ii=65
111,39,3,9,2,ii=65
112,39,3,9,3,ii=43
113,39,3,9,3,ii=43
114,39,3,9,3,ii=43
115,39,3,9,3,ii=43
116,39,5,5,2,V65/V
117,39,5,5,2,V65/V
118,39,5,5,2,V65/V
119,39,5,5,2,V65/V
