time,key,degree,quality,inversion,roman_numeral_notation
-1,39,1,1,1,I
0,39,1,1,1,I
1,39,1,1,1,I
2,39,1,1,1,I
3,39,1,1,1,I
4,39,1,1,1,I
5,39,1,1,1,I
6,39,1,1,1,I
7,39,1,1,1,I
8,39,1,1,1,I
9,39,1,1,1,I
10,39,1,1,1,I
11,39,1,1,1,I
12,39,1,1,1,I
13,39,1,1,1,I
14,39,1,1,1,I
15,39,1,1,1,I
16,39,6,1,1,IV
17,39,6,1,1,IV
18,39,8,5,4,V42
19,39,8,5,4,V42
20,39,1,1,1,I
21,39,1,1,1,I
22,39,3,5,1,V7/IV
23,39,3,5,1,V7/IV
24,39,6,1,1,IV
25,39,6,1,1,IV
26,39,8,5,3,V43
27,39,8,5,3,V43
28,39,1,1,1,I
29,39,1,1,1,I
30,39,8,5,1,V7
31,39,8,5,1,V7
32,39,1,1,1,I
33,39,1,1,1,I
34,39,8,5,1,V7
35,39,8,5,1,V7
36,39,1,1,1,I
37,39,1,1,1,I
38,39,1,1,1,I
39,39,1,1,1,I
40,39,8,1,1,V
41,39,8,1,1,V
42,39,8,1,1,V
43,39,8,1,1,V
44,39,1,1,1,I
45,39,1,1,1,I
46,39,1,1,1,I
47,39,1,1,1,I
48,2,3,8,2,ii-6
49,2,3,8,2,ii-6
50,2,3,8,2,ii-6
51,2,3,8,2,ii-6
52,2,8,5,1,V7
53,2,8,5,1,V7
54,2,10,1,1,VI
55,26,8,1,2,V6
56,26,1,2,1,i
57,19,8,1,2,V6
58,19,1,1,1,I
59,1,8,5,4,V42
60,1,1,1,1,I
61,1,1,1,1,I
62,1,3,5,1,V7/IV
63,1,3,5,1,V7/IV
64,1,6,1,1,IV
65,1,6,1,1,IV
66,1,8,5,4,V42
67,1,8,5,4,V42
68,1,1,1,1,I
69,1,1,1,1,I
70,1,3,5,1,V7/IV
71,1,3,5,1,V7/IV
72,1,6,1,1,IV
73,1,6,1,1,IV
74,1,8,5,4,V42
75,1,8,5,4,V42
76,1,1,1,1,I
77,1,8,5,4,V42
78,1,1,1,1,I
79,1,8,5,4,V42
80,1,1,1,1,I
81,1,1,1,1,I
82,1,1,1,1,I
83,1,1,1,1,I
84,19,1,1,1,I
85,19,1,1,1,I
86,19,1,1,1,I
87,19,1,1,1,I
88,19,1,1,1,I
89,19,1,1,1,I
90,19,1,1,1,I
91,19,1,1,1,I
92,19,1,1,1,I
93,19,1,1,1,I
94,19,1,1,1,I
95,19,1,1,1,I
96,19,1,1,1,I
97,19,1,1,1,I
98,19,1,1,1,I
99,19,3,5,4,V42/IV
100,19,12,5,3,V43/ii
101,19,12,5,3,V43/ii
102,19,12,5,3,V43/ii
103,19,12,5,3,V43/ii
104,19,12,5,3,V43/ii
105,19,12,5,3,V43/ii
106,19,12,5,3,V43/ii
107,19,12,5,3,V43/ii
108,19,12,5,3,V43/ii
109,19,12,5,3,V43/ii
110,19,11,1,1,bVII
111,19,12,9,1,vii-7
112,19,1,1,1,I
113,19,1,1,1,I
114,19,3,2,2,ii6
115,19,8,5,1,V7
116,19,1,1,1,I
117,19,1,1,1,I
118,19,1,1,1,I
119,19,1,1,1,I
120,19,6,1,1,IV
121,19,6,1,1,IV
122,19,3,2,1,ii
123,19,3,2,1,ii
124,19,8,1,1,V
125,19,8,1,1,V
126,19,1,1,2,I6
127,19,1,1,2,I6
128,19,10,2,1,vi
129,19,10,2,1,vi
130,19,6,1,1,IV
131,19,6,1,1,IV
132,19,12,8,1,vii-
133,19,12,8,1,vii-
134,19,12,8,1,vii-
135,19,12,8,1,vii-
136,19,12,8,1,vii-
137,19,12,8,1,vii-
138,19,8,1,2,V6
139,19,6,1,2,IV6
140,19,6,5,1,V7/vi
141,19,6,5,1,V7/vi
142,19,6,1,1,IV
143,19,5,5,2,V65/V
144,19,1,1,3,I64
145,19,1,1,3,I64
146,19,8,1,1,V
147,19,8,1,1,V
148,19,1,1,1,I
149,19,1,1,1,I
150,19,1,1,1,I
151,19,1,1,1,I
152,19,6,1,1,IV
153,19,6,1,1,IV
154,19,3,2,1,ii
155,19,3,2,1,ii
156,19,8,1,1,V
157,19,8,1,1,V
158,19,1,1,2,I6
159,19,1,1,2,I6
160,19,10,2,1,vi
161,19,10,2,1,vi
162,19,6,1,1,IV
163,19,6,1,1,IV
164,19,12,8,1,vii-
165,19,12,8,1,vii-
166,19,12,8,1,vii-
167,19,12,8,1,vii-
168,19,12,8,1,vii-
169,19,12,8,1,vii-
170,19,8,1,2,V6
171,19,6,1,2,IV6
172,19,6,5,2,V65/vi
173,19,6,5,2,V65/vi
174,19,6,5,2,V65/vi
175,19,6,5,2,V65/vi
176,19,10,2,1,vi
177,19,10,2,1,vi
178,19,10,2,1,vi
179,19,10,2,1,vi
180,19,8,9,1,vii-7/V
181,19,8,9,1,vii-7/V
182,19,8,9,1,vii-7/V
183,19,8,9,1,vii-7/V
184,19,12,9,3,vii-43
185,19,12,9,3,vii-43
186,19,8,5,4,V42
187,19,8,5,4,V42
188,19,1,1,2,I6
189,19,8,5,2,V65
190,19,8,5,4,V42
191,19,8,5,2,V65
192,19,8,5,4,V42
193,19,8,5,2,V65
194,19,8,5,4,V42
195,19,8,5,2,V65
196,19,1,1,1,I
197,19,1,1,1,I
198,19,6,1,2,IV6
199,19,6,1,2,IV6
200,19,3,2,2,ii6
201,19,3,2,2,ii6
202,19,8,5,1,V7
203,19,8,5,1,V7
204,19,8,5,4,V42
205,19,8,5,2,V65
206,19,8,5,4,V42
207,19,8,5,2,V65
208,19,8,5,4,V42
209,19,8,5,2,V65
210,19,1,1,1,I
211,19,10,2,2,vi6
212,19,12,5,1,V7/ii
213,19,12,5,1,V7/ii
214,19,3,2,1,ii
215,19,3,2,1,ii
216,19,3,2,1,ii
217,19,3,2,1,ii
218,19,8,1,1,V
219,19,8,1,1,V
220,19,1,1,1,I
221,19,1,1,1,I
222,19,1,1,1,I
223,19,1,1,1,I
224,19,3,8,2,ii-6
225,19,3,8,2,ii-6
226,19,8,5,3,V43
227,19,8,5,3,V43
228,19,1,1,1,I
229,19,1,1,1,I
230,19,1,1,1,I
231,19,1,1,1,I
232,19,3,8,2,ii-6
233,19,3,8,2,ii-6
234,19,2,1,2,N6
235,19,2,1,2,N6
236,19,1,1,1,I
237,19,1,1,1,I
238,19,12,9,3,vii-43
239,19,12,9,3,vii-43
240,19,1,1,1,I
