onset_time,midi_note,morphetic_pitch_number,duration,staff_number,measure
0.0,38.0,47.0,1.0,1.0,1.0
1.0,38.0,47.0,1.0,1.0,1.0
2.0,38.0,47.0,1.0,1.0,1.0
3.0,69.0,65.0,3.0,0.0,2.0
4.0,38.0,47.0,1.0,1.0,2.0
5.0,38.0,47.0,1.0,1.0,2.0
6.0,69.0,65.0,1.0,0.0,3.0
7.0,67.0,64.0,4.0,0.0,3.0
8.0,38.0,47.0,1.0,1.0,3.0
9.0,38.0,47.0,1.0,1.0,4.0
10.0,38.0,47.0,1.0,1.0,4.0
11.0,66.0,63.0,0.5,0.0,4.0
11.5,64.0,62.0,0.5,0.0,4.0
12.0,62.0,61.0,2.0,0.0,5.0
13.0,38.0,47.0,1.0,1.0,5.0
14.0,61.0,60.0,1.0,0.0,5.0
15.0,59.0,59.0,2.0,0.0,6.0
16.0,38.0,47.0,1.0,1.0,6.0
17.0,57.0,58.0,1.0,0.0,6.0
18.0,57.0,58.0,3.0,0.0,7.0
19.0,38.0,47.0,1.0,1.0,7.0
20.0,38.0,47.0,1.0,1.0,7.0
21.0,62.0,61.0,3.0,0.0,8.0
22.0,38.0,47.0,1.0,1.0,8.0
23.0,38.0,47.0,1.0,1.0,8.0
24.0,64.0,62.0,2.0,0.0,9.0
25.0,38.0,47.0,1.0,1.0,9.0
26.0,66.0,63.0,0.5,0.0,9.0
26.5,67.0,64.0,0.5,0.0,9.0
27.0,66.0,63.0,1.0,0.0,10.0
28.0,50.0,54.0,1.0,1.0,10.0
29.0,50.0,54.0,1.0,1.0,10.0
30.0,62.0,61.0,3.0,1.0,11.0
31.0,50.0,54.0,1.0,1.0,11.0
32.0,50.0,54.0,1.0,1.0,11.0
33.0,81.0,72.0,3.0,0.0,12.0
34.0,50.0,54.0,1.0,1.0,12.0
35.0,50.0,54.0,1.0,1.0,12.0
36.0,81.0,72.0,1.0,0.0,13.0
37.0,79.0,71.0,4.0,0.0,13.0
38.0,50.0,54.0,1.0,1.0,13.0
39.0,67.0,64.0,3.0,0.0,14.0
40.0,50.0,54.0,1.0,1.0,14.0
41.0,78.0,70.0,0.5,0.0,14.0
41.5,76.0,69.0,0.5,0.0,14.0
42.0,74.0,68.0,2.0,0.0,15.0
43.0,50.0,54.0,1.0,1.0,15.0
44.0,73.0,67.0,1.0,0.0,15.0
45.0,71.0,66.0,2.0,0.0,16.0
46.0,50.0,54.0,1.0,1.0,16.0
47.0,69.0,65.0,1.0,0.0,16.0
48.0,69.0,65.0,3.0,0.0,17.0
49.0,50.0,54.0,1.0,1.0,17.0
50.0,50.0,54.0,1.0,1.0,17.0
51.0,74.0,68.0,3.0,0.0,18.0
52.0,50.0,54.0,1.0,1.0,18.0
53.0,50.0,54.0,1.0,1.0,18.0
54.0,76.0,69.0,2.0,0.0,19.0
55.0,50.0,54.0,1.0,1.0,19.0
56.0,78.0,70.0,0.5,0.0,19.0
56.5,79.0,71.0,0.5,0.0,19.0
57.0,78.0,70.0,1.0,0.0,20.0
