time,key,degree,quality,inversion,roman_numeral_notation
0,7,1,0,0,I
1,7,1,0,0,I
2,7,1,0,0,I
3,7,3,4,0,V7/IV
4,7,3,4,0,V7/IV
5,7,3,4,0,V7/IV
6,7,6,0,1,IV6
7,7,6,0,1,IV6
8,7,6,0,1,IV6
9,7,6,0,1,IV6
10,7,6,0,1,IV6
11,7,6,0,1,IV6
12,7,3,3,0,ii7
13,7,3,3,0,ii7
14,7,3,3,0,ii7
15,7,8,4,1,V65
16,7,8,4,1,V65
17,7,8,4,1,V65
18,7,1,0,0,I
19,7,1,0,0,I
20,7,1,0,0,I
21,7,1,0,1,I6
22,7,1,0,1,I6
23,7,1,0,1,I6
24,7,8,4,0,V7
25,7,8,4,0,V7
26,7,8,4,0,V7
27,7,1,0,0,I
28,7,1,0,0,I
29,7,1,0,0,I
30,7,1,0,0,I
31,7,1,0,0,I
32,7,1,0,0,I
33,7,3,4,0,V7/IV
34,7,3,4,0,V7/IV
35,7,3,4,0,V7/IV
36,7,6,0,0,IV
37,7,6,0,0,IV
38,7,6,0,0,IV
39,7,6,0,1,IV6
40,7,6,0,1,IV6
41,7,6,0,1,IV6
42,7,3,3,0,ii7
43,7,3,3,0,ii7
44,7,3,3,0,ii7
45,7,8,4,1,V65
46,7,8,4,1,V65
47,7,8,4,1,V65
48,7,1,0,0,I
49,7,1,0,0,I
50,7,1,0,0,I
51,7,1,0,1,I6
52,7,1,0,1,I6
53,7,1,0,1,I6
54,7,8,4,0,V7
55,7,8,4,0,V7
56,7,8,4,0,V7
57,7,1,0,0,I
58,7,1,0,0,I
59,7,1,0,0,I
60,7,1,0,1,I6
61,7,1,0,1,I6
62,7,1,0,1,I6
63,7,1,0,1,I6
64,7,3,1,0,ii
65,7,3,4,2,V43/IV
66,7,6,0,1,IV6
67,7,6,0,1,IV6
68,7,6,0,1,IV6
69,7,6,0,1,IV6
70,7,6,0,1,IV6
71,7,3,4,2,V43/IV
72,7,6,0,0,IV
73,7,6,0,0,IV
74,7,5,4,1,V65/V
75,7,8,0,0,V
76,7,8,0,0,V
77,7,8,4,0,V7
78,7,1,0,0,I
79,7,1,0,0,I
80,7,1,0,0,I
81,7,1,0,0,I
82,7,1,0,0,I
83,7,8,4,0,V7
84,7,1,0,1,I6
85,7,1,0,1,I6
86,7,1,0,1,I6
87,7,1,0,1,I6
88,7,3,1,0,ii
89,7,1,0,2,I64
90,7,6,0,1,IV6
91,7,6,0,1,IV6
92,7,6,0,1,IV6
93,7,6,0,1,IV6
94,7,6,0,1,IV6
95,7,1,0,2,I64
96,7,3,3,1,ii65
97,7,3,3,1,ii65
98,7,5,4,1,V65/V
99,7,8,0,0,V
100,7,8,0,0,V
101,7,8,4,0,V7
102,7,1,0,0,I
103,7,1,0,0,I
104,7,1,0,0,I
105,7,1,0,0,I
106,7,1,0,0,I
107,7,1,0,1,I6
108,7,3,3,1,ii65
109,7,3,3,1,ii65
110,7,5,4,1,V65/V
111,7,8,0,0,V
112,7,8,0,0,V
113,7,8,4,0,V7
114,7,1,0,0,I
115,7,1,0,0,I
116,7,1,0,0,I
117,31,3,3,1,ii65
118,31,3,3,1,ii65
119,31,3,3,1,ii65
120,31,1,0,1,I6
121,31,1,0,1,I6
122,31,1,0,1,I6
123,31,8,4,2,V43
124,31,8,4,2,V43
125,31,8,4,2,V43
126,31,1,0,0,I
127,31,1,0,0,I
128,31,1,0,0,I
129,13,3,3,1,ii65
130,13,3,3,1,ii65
131,13,3,3,1,ii65
132,13,1,0,1,I6
133,13,1,0,1,I6
134,13,1,0,1,I6
135,13,8,4,2,V43
136,13,8,4,2,V43
137,13,8,4,2,V43
138,13,1,0,0,I
139,13,1,0,0,I
140,13,1,0,0,I
141,31,3,3,1,ii65
142,31,3,3,1,ii65
143,31,3,3,1,ii65
144,31,1,0,1,I6
145,31,1,0,1,I6
146,31,1,0,1,I6
147,31,8,4,2,V43
148,31,8,4,2,V43
149,31,8,4,2,V43
150,31,1,0,0,I
151,31,1,0,0,I
152,31,1,0,0,I
153,13,3,3,1,ii65
154,13,3,3,1,ii65
155,13,3,3,1,ii65
156,13,1,0,1,I6
157,13,1,0,1,I6
158,13,1,0,1,I6
159,13,8,4,2,V43
160,13,8,4,2,V43
161,13,8,4,2,V43
162,13,1,0,0,I
163,13,1,0,0,I
164,13,1,0,0,I
165,13,8,4,2,V43
166,13,8,4,2,V43
167,13,8,4,2,V43
168,13,1,0,0,I
169,13,1,0,0,I
170,13,1,0,0,I
171,13,8,4,2,V43
172,13,8,4,2,V43
173,13,8,4,2,V43
174,13,1,0,0,I
175,13,1,0,0,I
176,13,1,0,0,I
177,13,1,0,0,I
178,13,1,0,0,I
179,13,1,0,0,I
180,13,1,0,0,I
181,13,1,0,0,I
182,13,1,0,0,I
183,13,1,0,0,I
184,13,1,0,0,I
185,13,1,0,0,I
186,31,6,4,0,V7/vi
187,31,6,4,0,V7/vi
188,31,6,4,0,V7/vi
189,31,10,1,0,vi
190,31,10,1,0,vi
191,31,10,1,0,vi
192,31,6,4,0,V7/vi
193,31,6,4,0,V7/vi
194,31,6,4,0,V7/vi
195,31,10,1,0,vi
196,31,10,1,0,vi
197,31,10,1,0,vi
198,31,12,4,0,V7/ii
199,31,12,4,0,V7/ii
200,31,12,4,0,V7/ii
201,31,3,1,0,ii
202,31,3,1,0,ii
203,31,3,1,0,ii
204,31,1,0,1,I64
205,31,1,0,1,I64
206,31,8,4,0,V7
207,31,1,0,0,I
208,31,1,0,0,I
209,31,1,0,0,I
