time,key,degree,quality,inversion,roman_numeral_notation
-1,e,1,m,0,i
0,e,1,m,0,i
1,e,1,m,0,i
2,e,1,m,0,i
3,e,5/3,M,0,V/III
4,e,5/3,M,0,V/III
5,e,5/3,M,0,V/III
6,G,5,D7,3,V42
7,G,5,D7,3,V42
8,G,5,D7,3,V42
9,G,1,M,0,I
10,G,1,M,0,I
11,G,1,M,0,I
12,G,1,M,0,I
13,G,1,M,0,I
14,G,1,M,0,I
15,G,5/3,M,0,V/iii
16,G,5/3,M,0,V/iii
17,G,5/3,M,0,V/iii
18,b,5,D7,3,V42
19,b,5,D7,3,V42
20,b,5,D7,3,V42
21,b,1,m,0,i
22,b,1,m,0,i
23,b,1,m,0,i
24,G,1,M,1,I6
25,G,1,M,1,I6
26,G,1,M,1,I6
27,G,2,m,0,ii
28,G,2,m,0,ii
29,G,2,m,0,ii
30,G,5,D7,0,V7
31,G,5,D7,0,V7
32,G,5,D7,0,V7
33,G,1,M,0,I
34,G,1,M,0,I
35,G,1,M,0,I
36,e,1,m,0,i
37,e,1,m,0,i
38,e,1,m,0,i
39,e,6,M,0,VI
40,e,6,M,0,VI
41,e,6,M,0,VI
42,e,6,M,0,VI
43,e,6,M,0,VI
44,e,6,M,0,VI
45,e,5,M,0,V
46,e,5,M,0,V
47,e,5,M,0,V
48,e,1,m,1,i6
49,e,1,m,1,i6
50,e,1,m,1,i6
51,e,2,h7,1,ii=65
52,e,2,h7,1,ii=65
53,e,5/5,D7,1,V65/V
54,e,5,D7,0,V7
55,e,5,D7,0,V7
56,e,5,D7,0,V7
57,e,6,M,0,VI
58,e,6,M,0,VI
59,e,6,M,0,VI
60,e,1,m,1,i6
61,e,1,m,1,i6
62,e,5/4,M,1,V6/iv
63,e,2,h7,1,ii=65
64,e,2,h7,1,ii=65
65,e,5/5,D7,1,V65/V
66,e,5,D7,0,V7
67,e,5,D7,0,V7
68,e,5,D7,0,V7
69,e,1,m,0,i
70,e,1,m,0,i
71,e,1,m,0,i
72,e,1,m,0,i
73,e,1,m,0,i
74,e,1,m,0,i
75,e,1,m,0,i
76,e,1,m,0,i
77,e,1,m,0,i
78,e,1,m,0,i
