time,key,degree,quality,inversion,roman_numeral_notation
0,15,1,1,1,I
1,15,1,1,1,I
2,15,1,1,1,I
3,15,1,1,1,I
4,15,1,1,1,I
5,15,1,1,1,I
6,15,1,1,1,I
7,15,1,1,1,I
8,15,1,1,1,I
9,15,1,1,1,I
10,15,1,1,1,I
11,15,1,1,1,I
12,15,1,1,1,I
13,15,3,4,1,ii7
14,15,3,4,1,ii7
15,15,1,4,2,I6
16,15,1,4,2,I6
17,15,1,4,2,I6
18,15,8,5,1,V7
19,15,10,4,1,vi7
20,15,10,4,1,vi7
21,15,8,5,2,V65
22,15,8,5,2,V65
23,15,8,5,2,V65
24,15,1,1,1,I
25,15,3,4,1,ii7
26,15,3,4,1,ii7
27,15,1,4,2,I6
28,15,3,5,2,V65/IV
29,15,3,5,2,V65/IV
30,15,6,1,1,IV
31,15,6,1,1,IV
32,15,6,1,1,IV
33,15,1,1,3,I64
34,15,8,5,1,V7
35,15,8,5,1,V7
36,15,1,1,1,I
37,15,1,1,1,I
38,15,1,1,1,I
39,15,1,1,1,I
40,15,6,1,2,IV6
41,15,6,1,2,IV6
42,15,1,1,3,I64
43,15,1,1,3,I64
44,15,1,1,3,I64
45,15,8,5,1,V7
46,15,8,5,1,V7
47,15,8,5,1,V7
48,15,1,1,1,I
49,15,1,1,1,I
50,15,1,1,1,I
51,15,1,1,1,I
52,15,1,1,1,I
53,15,1,1,1,I
54,15,8,5,1,V7
55,15,8,5,1,V7
56,15,8,5,1,V7
57,15,8,5,1,V7
58,15,8,5,1,V7
59,15,8,5,1,V7
60,15,1,1,1,I
61,15,1,1,1,I
62,15,1,1,1,I
63,15,1,1,1,I
64,15,1,1,1,I
65,15,1,1,1,I
66,15,8,5,1,V7
67,15,8,5,1,V7
68,15,8,5,1,V7
69,15,8,5,1,V7
70,15,8,5,1,V7
71,15,8,5,1,V7
72,15,3,5,4,V42/IV
73,15,3,5,4,V42/IV
74,15,3,5,4,V42/IV
75,15,3,5,4,V42/IV
76,15,3,5,4,V42/IV
77,15,3,5,4,V42/IV
78,15,6,1,2,IV6
