time,key,degree,quality,inversion,roman_numeral_notation
-1,7,1,1,1,I
0,7,8,1,1,V
1,7,8,1,1,V
2,7,8,1,1,V
3,7,8,1,1,V
4,7,1,1,1,I
5,7,1,1,1,I
6,7,8,1,1,V
7,7,8,1,1,V
8,7,1,1,1,I
9,7,1,1,1,I
10,7,1,1,1,I
11,7,1,1,1,I
12,7,8,1,1,V
13,7,8,1,1,V
14,7,8,1,1,V
15,7,1,1,2,I6
16,7,8,5,1,V7
17,7,8,5,1,V7
18,7,8,5,1,V7
19,7,8,5,1,V7
20,7,8,5,1,V7
21,7,8,5,1,V7
22,7,8,5,1,V7
23,7,8,5,1,V7
24,7,1,1,1,I
25,7,1,1,1,I
26,7,1,1,1,I
27,7,1,1,1,I
28,7,1,1,1,I
29,7,1,1,1,I
30,7,1,1,1,I
31,7,1,1,1,I
32,7,3,2,2,ii6
33,7,3,2,2,ii6
34,7,8,5,1,V7
35,7,8,5,1,V7
36,7,1,1,1,I
37,7,1,1,1,I
38,7,1,1,1,I
39,7,1,1,1,I
40,7,1,1,1,I
41,7,1,1,1,I
42,7,1,1,1,I
43,7,1,1,1,I
44,7,8,5,1,V7
45,7,8,5,1,V7
46,7,8,5,1,V7
47,7,8,5,1,V7
48,7,1,1,2,I6
49,7,1,1,2,I6
50,7,1,1,2,I6
51,7,1,1,2,I6
52,7,10,2,1,vi
53,7,10,2,1,vi
54,7,3,2,2,ii6
55,7,3,2,2,ii6
56,7,3,2,1,ii
57,7,3,2,1,ii
58,7,8,5,1,V7
59,7,8,5,1,V7
60,7,1,1,1,I
61,7,1,1,1,I
62,7,1,1,1,I
63,7,1,1,1,I
64,7,8,1,1,V
65,7,8,1,1,V
66,7,8,1,1,V
67,7,8,1,1,V
68,7,1,1,1,I
69,7,1,1,1,I
70,7,8,1,1,V
71,7,8,1,1,V
72,7,1,1,1,I
73,7,1,1,1,I
74,7,1,1,1,I
75,7,1,1,1,I
76,7,8,1,1,V
77,7,8,1,1,V
78,7,8,1,1,V
79,7,8,1,1,V
80,38,1,2,2,i6
81,38,1,2,2,i6
82,38,6,2,1,iv
83,38,6,2,1,iv
84,38,8,1,1,V
85,38,8,1,1,V
86,38,8,1,1,V
87,38,8,1,1,V
88,38,1,2,1,i
89,38,1,2,1,i
90,38,8,5,2,V65
91,38,8,5,2,V65
92,38,1,2,1,i
93,38,1,2,1,i
94,38,1,2,1,i
95,38,1,2,1,i
96,38,8,5,3,V43
97,38,8,5,3,V43
98,38,1,2,1,i
99,38,1,2,1,i
100,38,8,1,1,V
101,38,8,1,1,V
102,38,8,1,1,V
103,38,8,1,1,V
104,38,1,2,1,i
105,38,1,2,1,i
106,38,8,5,2,V65
107,38,8,5,2,V65
108,38,1,2,1,i
109,38,1,2,1,i
110,24,6,2,2,iv6
111,24,6,2,2,iv6
112,24,1,2,3,i64
113,24,1,2,3,i64
114,24,8,1,1,V
115,24,8,1,1,V
116,24,1,2,1,i
117,24,1,2,1,i
118,24,1,2,1,i
119,24,1,2,1,i
120,24,8,5,1,V7
121,24,8,5,1,V7
122,24,1,2,1,i
123,24,1,2,1,i
124,24,8,5,1,V7
125,24,8,5,1,V7
126,24,8,5,1,V7
127,24,8,5,1,V7
128,24,1,2,1,i
129,24,1,2,1,i
130,24,12,8,2,vii-6
131,24,12,8,2,vii-6
132,24,1,2,2,i6
133,24,1,2,2,i6
134,24,1,2,2,i6
135,24,1,2,2,i6
136,31,8,5,1,V7
137,31,8,5,1,V7
138,31,1,1,1,I
139,31,1,1,1,I
140,31,8,5,1,V7
141,31,8,5,1,V7
142,31,8,5,1,V7
143,31,8,5,1,V7
144,31,1,1,1,I
145,31,1,1,1,I
146,31,12,8,1,vii-6
147,31,12,8,1,vii-6
148,31,1,1,2,I6
149,31,1,1,2,I6
150,31,1,1,2,I6
151,31,1,1,2,I6
152,31,6,1,1,IV
153,31,6,1,1,IV
154,31,6,1,1,IV
155,31,6,1,1,IV
156,31,3,2,1,ii
157,31,3,2,1,ii
158,31,3,2,1,ii
159,31,3,2,1,ii
160,31,3,2,1,ii
161,31,3,2,1,ii
162,31,3,2,1,ii
163,31,3,2,1,ii
164,31,8,5,1,V7
165,31,8,5,1,V7
166,31,8,5,1,V7
167,31,8,5,1,V7
168,31,1,1,1,I
169,31,1,1,1,I
170,31,1,1,1,I
171,31,1,1,1,I
172,31,6,5,2,V65/vi
173,31,6,5,2,V65/vi
174,31,6,5,2,V65/vi
175,31,6,5,2,V65/vi
176,31,10,2,1,vi
177,31,10,2,1,vi
178,31,10,2,1,vi
179,31,10,2,1,vi
180,31,5,5,3,V43/V
181,31,5,5,3,V43/V
182,31,5,5,3,V43/V
183,31,5,5,3,V43/V
184,31,8,1,1,V
185,31,8,1,1,V
186,31,8,1,1,V
187,31,8,1,1,V
188,31,8,5,1,V7
189,31,8,5,1,V7
190,31,8,5,4,V42
191,31,8,5,4,V42
192,31,1,1,2,I6
193,31,1,1,2,I6
194,31,1,1,2,I6
195,31,1,1,2,I6
196,31,6,1,1,IV
197,31,6,1,1,IV
198,31,8,10,1,vii=7/V
199,31,8,10,1,vii=7/V
200,31,1,1,3,I64
201,31,1,1,3,I64
202,31,1,1,3,I64
203,31,1,1,3,I64
204,31,8,1,1,V
205,31,8,1,1,V
206,31,8,1,1,V
207,31,8,1,1,V
208,31,1,1,1,I
209,31,1,1,1,I
210,31,1,1,1,I
211,31,1,1,1,I
212,31,8,5,1,V7
213,31,8,5,1,V7
214,31,1,1,1,I
215,31,1,1,1,I
216,31,8,1,1,V
217,31,8,1,1,V
218,31,1,1,1,I
219,31,1,1,1,I
220,31,8,5,1,V7
221,31,8,5,1,V7
222,31,8,5,1,V7
223,31,8,5,1,V7
224,31,8,5,1,V7
225,31,8,5,1,V7
226,31,8,5,1,V7
227,31,8,5,1,V7
228,31,8,5,1,V7
229,31,8,5,1,V7
230,31,8,5,1,V7
231,31,8,5,1,V7
232,31,8,5,1,V7
233,31,8,5,1,V7
234,31,8,5,1,V7
235,31,8,5,1,V7
